Year,Adjustments On Amalgamation Merger Demerger Others,Asset Turnover Ratio (%),Basic EPS (Rs.),Bonus Equity Share Capital,Book Value [ExclRevalReserve]/Share (Rs.),Book Value [InclRevalReserve]/Share (Rs.),Capital Goods,Capital Work-In-Progress,Cash And Cash Equivalents,Cash And Cash Equivalents Begin of Year,Cash And Cash Equivalents End Of Year,Cash EPS (Rs.),Cash Earnings Retention Ratio (%),Close,Contingent Liabilities,Current Investments,Current Ratio (X),Deferred Tax Assets [Net],Deferred Tax Liabilities [Net],Diluted EPS (Rs.),Dividend / Share(Rs.),Dividend Payout Ratio (CP) (%),Dividend Payout Ratio (NP) (%),EV/EBITDA (X),EV/Net Operating Revenue (X),Earnings Retention Ratio (%),Earnings Yield,Employees Cost,Enterprise Value (Cr.),Equity Share Capital,Expenditure In Foreign Currency,Fixed Assets,Foreign Exchange Gains / Losses,Intangible Assets,Interest,Inventories,Inventory Turnover Ratio (X),Long Term Borrowings,Long Term Loans And Advances,Long Term Provisions,MarketCap/Net Operating Revenue (X),Net Cash Used From Financing Activities,Net Cash Used In Investing Activities,Net CashFlow From Operating Activities,Net Inc/Dec In Cash And Cash Equivalents,Net Profit Margin (%),Net Profit/(Loss) For the Period,Net Profit/Loss Before Extraordinary Items And Tax,Net Profit/Share (Rs.),Non-Current Investments,Non-Current Investments Unquoted Book Value,Other Assets,Other Current Liabilities,Other Earnings,Other Expenses,Other Income,Other Long Term Liabilities,Other Non-Current Assets,OtherCurrentAssets,P/L After Tax from Ordinary Activities,P/L Before Exceptional Items & Tax,"P/L Before Int., Excpt. Items & Tax","P/L Before Other Inc. , Int., Excpt. Items & Tax",P/L Before Tax,PBDIT Margin (%),PBDIT/Share (Rs.),PBIT Margin (%),PBIT/Share (Rs.),PBT Margin (%),PBT/Share (Rs.),Price/BV (X),Price/Net Operating Revenue,Quick Ratio (X),Raw Materials,Reserves and Surplus,Retention Ratios (%),Return on Assets (%),Return on Capital Employed (%),Return on Networth / Equity (%),Revenue from Operations/Share (Rs.),Short Term Borrowings,Short Term Loans And Advances,Short Term Provisions,"Stores, Spares And Loose Tools",Tangible Assets,Tax,Total Assets,Total Capital And Liabilities,Total Current Assets,Total Current Liabilities,Total Debt/Equity (X),Total Income From Operations,Total Non-Current Assets,Total Non-Current Liabilities,Total Reserves and Surplus,Total Share Capital,Total Shareholders Funds,Trade Payables,Trade Receivables,Trade/Other Goods,depreciat
Dec-10,0,102.73,28.71,155.9,76.73,76.73,101.84,940.72,3396.16,554.83,293.28,31.1,35.71,582.8250122,3292.5,0,1.49,53.13,40.1,28.71,20,64.29,69.67,21.84,6.49,30.33,0.04,2625.5,149557.76,195.72,7339.16,3701.24,0,12.71,2.6,6.78,3398.89,35.74,0,0,6.63,-1969.65,-4556.64,6264.74,-261.55,24.38,2051.75,6370.38,28.71,7893.39,7509.85,0,1284.37,45.37,2656.69,137.19,0,0,0,2051.75,2340.43,2343.03,2205.84,2340.43,29.72,35,27.68,32.6,27.64,32.55,10.18,6.63,1.49,11.13,14820.9,30.32,25.04,36.98,37.41,117.74,0,4048.71,3926.61,0,2747.81,288.68,22431.71,22431.71,10783.95,7239.25,0,7627.26,11647.76,75.84,14820.9,295.72,15116.62,2028.27,3332.3,0,139.23
Mar-11,0,112.41,38.61,155.9,99.53,99.53,361.82,1072.86,3120.52,293.28,577.18,41.43,66.21,591.9500122,3948.89,337.58,1.72,52.03,69.32,38.61,14,33.79,36.19,24.68,7.8,63.81,0.03,2780.54,228454.71,195.72,8890.64,4495.04,11.39,58.4,1.2,5.37,5451.66,36.33,2864.09,76.17,7.91,-4605.61,-841.76,5719.88,283.9,25.85,2149.18,8700.43,38.68,5457.91,5078.02,0,1584.27,16.57,2790.71,217.89,129.91,2603.26,931.29,2149.18,2457.37,2458.57,2240.68,2457.37,31.62,47.3,29.78,44.56,29.71,44.45,11.88,7.91,1.72,14.04,19283.77,63.8,29.06,38.05,38.86,149.58,0,1369.05,2413.94,0,3363.78,308.19,26042.81,26042.81,10570.48,6151.59,0,7969.75,15472.33,311.73,19283.77,295.72,19579.49,2153.38,4806.67,0,157.82
Jun-11,0,112.41,38.61,155.9,99.53,99.53,361.82,1072.86,3120.52,293.28,577.18,41.43,66.21,592.0999756,3948.89,337.58,1.72,52.03,69.32,38.61,14,33.79,36.19,24.68,7.8,63.81,0.03,3205.87,228454.71,195.72,8890.64,4495.04,11.39,58.4,2.36,5.37,5451.66,36.33,2864.09,76.17,7.91,-4605.61,-841.76,5719.88,283.9,25.85,2062.43,8700.43,38.68,5457.91,5078.02,0,1584.27,16.57,2973.63,257.4,129.91,2603.26,931.29,2062.43,2531.84,2534.2,2276.8,2531.84,31.62,47.3,29.78,44.56,29.71,44.45,11.88,7.91,1.72,14.04,19283.77,63.8,29.06,38.05,38.86,149.58,0,1369.05,2413.94,0,3363.78,469.41,26042.81,26042.81,10570.48,6151.59,0,8613.56,15472.33,311.73,19283.77,295.72,19579.49,2153.38,4806.67,0,157.26
Sep-11,0,112.41,38.61,155.9,99.53,99.53,361.82,1072.86,3120.52,293.28,577.18,41.43,66.21,518.6500244,3948.89,337.58,1.72,52.03,69.32,38.61,14,33.79,36.19,24.68,7.8,63.81,0.03,3421.71,228454.71,195.72,8890.64,4495.04,11.39,58.4,8.47,5.37,5451.66,36.33,2864.09,76.17,7.91,-4605.61,-841.76,5719.88,283.9,25.85,3187.11,8700.43,38.68,5457.91,5078.02,0,1584.27,16.57,3247.14,1420.48,129.91,2603.26,931.29,3187.11,3898.53,3907,2486.52,3898.53,31.62,47.3,29.78,44.56,29.71,44.45,11.88,7.91,1.72,14.04,19283.77,63.8,29.06,38.05,38.86,149.58,0,1369.05,2413.94,0,3363.78,711.42,26042.81,26042.81,10570.48,6151.59,0,9329.24,15472.33,311.73,19283.77,295.72,19579.49,2153.38,4806.67,0,173.87
Dec-11,0,112.41,38.61,155.9,99.53,99.53,361.82,1072.86,3120.52,293.28,577.18,41.43,66.21,580.3250122,3948.89,337.58,1.72,52.03,69.32,38.61,14,33.79,36.19,24.68,7.8,63.81,0.03,3644.81,228454.71,195.72,8890.64,4495.04,11.39,58.4,3.14,5.37,5451.66,36.33,2864.09,76.17,7.91,-4605.61,-841.76,5719.88,283.9,25.85,3168.1,8700.43,38.68,5457.91,5078.02,0,1584.27,16.57,3648.17,763.84,129.91,2603.26,931.29,3168.1,3838.93,3842.07,3078.23,3838.93,31.62,47.3,29.78,44.56,29.71,44.45,11.88,7.91,1.72,14.04,19283.77,63.8,29.06,38.05,38.86,149.58,0,1369.05,2413.94,0,3363.78,670.83,26042.81,26042.81,10570.48,6151.59,0,10544.03,15472.33,311.73,19283.77,295.72,19579.49,2153.38,4806.67,0,172.82
Mar-12,0,113.42,55.95,155.9,126.49,126.49,227.49,1399.82,3280.07,577.18,318.97,59.6,58.06,584.4000244,6545.88,538.24,1.87,139.74,118.1,55.95,25,41.94,44.57,16.03,5.8,55.43,0.05,3793.53,225487.76,195.72,12263.02,5463.44,31.02,51.46,2.43,4.14,9386.12,96.23,4332.81,154.78,5.88,-3897.22,433.36,3174.63,-258.21,28.24,2558.34,13366.33,56.08,5150.15,4770.26,0,1598.56,3162.38,3537.96,243.46,197.59,2636.88,1956.9,2558.34,3097.03,3099.46,2856,3097.03,36.21,71.89,34.43,68.38,34.39,68.29,9.23,5.88,1.87,8.19,24560.91,55.42,32.03,43.17,44.33,198.54,0,1648.72,4389.74,0,4012.16,538.69,34258.81,34258.81,16535.79,8835.48,0,10371.71,17723.02,566.7,24560.91,295.72,24856.63,2847.18,9107.72,0,184.22
Jun-12,0,113.42,55.95,155.9,126.49,126.49,227.49,1399.82,3280.07,577.18,318.97,59.6,58.06,638.7249756,6545.88,538.24,1.87,139.74,118.1,55.95,25,41.94,44.57,16.03,5.8,55.43,0.05,4032.97,225487.76,195.72,12263.02,5463.44,31.02,51.46,4.26,4.14,9386.12,96.23,4332.81,154.78,5.88,-3897.22,433.36,3174.63,-258.21,28.24,2797.59,13366.33,56.08,5150.15,4770.26,0,1598.56,3162.38,3925.83,169.26,197.59,2636.88,1956.9,2797.59,3435.06,3439.32,3270.06,3435.06,36.21,71.89,34.43,68.38,34.39,68.29,9.23,5.88,1.87,8.19,24560.91,55.42,32.03,43.17,44.33,198.54,0,1648.72,4389.74,0,4012.16,637.47,34258.81,34258.81,16535.79,8835.48,0,11410.65,17723.02,566.7,24560.91,295.72,24856.63,2847.18,9107.72,0,181.79
Sep-12,0,113.42,55.95,155.9,126.49,126.49,227.49,1399.82,3280.07,577.18,318.97,59.6,58.06,647.9500122,6545.88,538.24,1.87,139.74,118.1,55.95,25,41.94,44.57,16.03,5.8,55.43,0.05,4205.87,225487.76,195.72,12263.02,5463.44,31.02,51.46,13.29,4.14,9386.12,96.23,4332.81,154.78,5.88,-3897.22,433.36,3174.63,-258.21,28.24,3722.76,13366.33,56.08,5150.15,4770.26,0,1598.56,3162.38,4144.48,1148.69,197.59,2636.88,1956.9,3722.76,4513.68,4526.97,3378.28,4513.68,36.21,71.89,34.43,68.38,34.39,68.29,9.23,5.88,1.87,8.19,24560.91,55.42,32.03,43.17,44.33,198.54,0,1648.72,4389.74,0,4012.16,790.92,34258.81,34258.81,16535.79,8835.48,0,11925.56,17723.02,566.7,24560.91,295.72,24856.63,2847.18,9107.72,0,196.93
Dec-12,0,113.42,55.95,155.9,126.49,126.49,227.49,1399.82,3280.07,577.18,318.97,59.6,58.06,627.9249878,6545.88,538.24,1.87,139.74,118.1,55.95,25,41.94,44.57,16.03,5.8,55.43,0.05,4379.89,225487.76,195.72,12263.02,5463.44,31.02,51.46,3.81,4.14,9386.12,96.23,4332.81,154.78,5.88,-3897.22,433.36,3174.63,-258.21,28.24,3217.11,13366.33,56.08,5150.15,4770.26,0,1598.56,3162.38,4315.69,455.4,197.59,2636.88,1956.9,3217.11,3920.94,3924.75,3469.35,3920.94,36.21,71.89,34.43,68.38,34.39,68.29,9.23,5.88,1.87,8.19,24560.91,55.42,32.03,43.17,44.33,198.54,0,1648.72,4389.74,0,4012.16,703.83,34258.81,34258.81,16535.79,8835.48,0,12366.95,17723.02,566.7,24560.91,295.72,24856.63,2847.18,9107.72,0,202.02
Mar-13,3.39,112.58,65.22,155.9,165.86,165.86,352.42,1763.85,4054.16,318.97,323.85,69.43,68.32,787.875,10984.51,348.65,2.43,148.23,168.49,65.22,22,31.68,33.67,18.37,6.27,66.33,0.04,4448.53,303841.66,195.72,15602.18,6868.13,-16.68,44.8,9.21,6.34,7638.19,83.1,4630.21,269.52,6.35,-5655.8,-3482.98,9156.95,4.88,26.4,3014.78,15703.18,65.33,5975.73,5595.84,0,2172.71,1091.32,4635.84,453.55,251.87,1881.2,2985.69,3014.78,3794.74,3803.95,3350.4,3794.74,34.14,84.49,32.49,80.39,32.42,80.23,9.48,6.35,2.43,20.35,32266.53,66.32,29.72,38.35,39.38,247.43,80.02,4911.48,3896.14,0,5059.48,779.96,43012.14,43012.14,23508.64,9676.91,0.01,12649.4,19503.5,772.98,32266.53,295.72,32562.25,3528.04,11202.32,0,214.63
Jun-13,3.39,112.58,65.22,155.9,165.86,165.86,352.42,1763.85,4054.16,318.97,323.85,69.43,68.32,759.0750122,10984.51,348.65,2.43,148.23,168.49,65.22,22,31.68,33.67,18.37,6.27,66.33,0.04,5007.31,303841.66,195.72,15602.18,6868.13,-16.68,44.8,5.02,6.34,7638.19,83.1,4630.21,269.52,6.35,-5655.8,-3482.98,9156.95,4.88,26.4,3297.75,15703.18,65.33,5975.73,5595.84,0,2172.71,1091.32,4766.94,275.08,251.87,1881.2,2985.69,3297.75,4213.46,4218.48,3943.4,4213.46,34.14,84.49,32.49,80.39,32.42,80.23,9.48,6.35,2.43,20.35,32266.53,66.32,29.72,38.35,39.38,247.43,80.02,4911.48,3896.14,0,5059.48,915.71,43012.14,43012.14,23508.64,9676.91,0.01,13944.08,19503.5,772.98,32266.53,295.72,32562.25,3528.04,11202.32,0,226.43
Sep-13,3.39,112.58,65.22,155.9,165.86,165.86,352.42,1763.85,4054.16,318.97,323.85,69.43,68.32,963.9000244,10984.51,348.65,2.43,148.23,168.49,65.22,22,31.68,33.67,18.37,6.27,66.33,0.04,5428.79,303841.66,195.87,15602.18,6868.13,-16.68,44.8,9.83,6.34,7638.19,83.1,4630.21,269.52,6.35,-5655.8,-3482.98,9156.95,4.88,26.4,5607.75,15703.18,65.33,5975.73,5595.84,0,2172.71,1091.32,5430.48,1513.63,251.87,1881.2,2985.69,5607.75,6990.51,7000.34,5486.71,6990.51,34.14,84.49,32.49,80.39,32.42,80.23,9.48,6.35,2.43,20.35,32266.53,66.32,29.72,38.35,39.38,247.43,80.02,4911.48,3896.14,0,5059.48,1382.76,43012.14,43012.14,23508.64,9676.91,0.01,16607.72,19503.5,772.98,32266.53,295.72,32562.25,3528.04,11202.32,0,261.74
Dec-13,3.39,112.58,65.22,155.9,165.86,165.86,352.42,1763.85,4054.16,318.97,323.85,69.43,68.32,1086.025024,10984.51,348.65,2.43,148.23,168.49,65.22,22,31.68,33.67,18.37,6.27,66.33,0.04,5430.93,303841.66,195.87,15602.18,6868.13,-16.68,44.8,4,6.34,7638.19,83.1,4630.21,269.52,6.35,-5655.8,-3482.98,9156.95,4.88,26.4,4776.76,15703.18,65.33,5975.73,5595.84,0,2172.71,1091.32,5482.53,653.13,251.87,1881.2,2985.69,4776.76,6147.96,6151.96,5498.83,6147.96,34.14,84.49,32.49,80.39,32.42,80.23,9.48,6.35,2.43,20.35,32266.53,66.32,29.72,38.35,39.38,247.43,80.02,4911.48,3896.14,0,5059.48,1371.2,43012.14,43012.14,23508.64,9676.91,0.01,16692.65,19503.5,772.98,32266.53,295.72,32562.25,3528.04,11202.32,0,280.36
Mar-14,2.57,112.27,94.15,155.9,224.9,224.9,589.6,3047.53,12566.26,323.85,438.37,99.84,67.96,1066.574951,10880.43,733.87,2.84,273.58,226.87,94.15,32,32.04,33.92,16.41,6.25,66.08,0.04,5354.04,404383.76,195.87,20275.4,8976.72,43.66,42.1,4.55,8.57,7546.43,89.69,6875.54,279.61,6.45,-5684.32,-7189.32,12941.93,114.52,28.56,4628.52,23544.47,94.32,5098.55,4718.66,0,2460.32,1625.88,5974.83,685.89,690.44,1544.99,3366.1,4628.52,5949.17,5953.72,5267.83,5949.17,38.11,125.84,36.44,120.32,36.4,120.2,9.46,6.45,2.84,32.96,43856.01,66.07,32.07,40.74,41.93,330.18,0,3688.12,5827.83,0,5887.09,1320.65,57604.19,57604.19,34834.81,12265.7,0,16893.91,22769.38,1286.61,43856.01,195.87,44051.88,3977.55,14471.89,0,297.21
Jun-14,2.57,112.27,94.15,155.9,224.9,224.9,589.6,3047.53,12566.26,323.85,438.37,99.84,67.96,1212.699951,10880.43,733.87,2.84,273.58,226.87,94.15,32,32.04,33.92,16.41,6.25,66.08,0.04,6024.84,404383.76,195.87,20275.4,8976.72,43.66,42.1,3.73,8.57,7546.43,89.69,6875.54,279.61,6.45,-5684.32,-7189.32,12941.93,114.52,28.56,5096.87,23544.47,94.32,5098.55,4718.66,0,2460.32,1625.88,5925.38,798.96,690.44,1544.99,3366.1,5096.87,5948.18,5951.91,5152.95,6475.94,38.11,125.84,36.44,120.32,36.4,120.2,9.46,6.45,2.84,32.96,43856.01,66.07,32.07,40.74,41.93,330.18,0,3688.12,5827.83,0,5887.09,1379.07,57604.19,57604.19,34834.81,12265.7,0,17438.43,22769.38,1286.61,43856.01,195.87,44051.88,3977.55,14471.89,0,335.26
Sep-14,2.57,112.27,94.15,155.9,224.9,224.9,589.6,3047.53,12566.26,323.85,438.37,99.84,67.96,1368.300049,10880.43,733.87,2.84,273.58,226.87,94.15,32,32.04,33.92,16.41,6.25,66.08,0.04,6260.67,404383.76,195.87,20275.4,8976.72,43.66,42.1,58.14,8.57,7546.43,89.69,6875.54,279.61,6.45,-5684.32,-7189.32,12941.93,114.52,28.56,4991.68,23544.47,94.32,5098.55,4718.66,0,2460.32,1625.88,6243,865.17,690.44,1544.99,3366.1,4991.68,6367.7,6425.84,5560.67,6367.7,38.11,125.84,36.44,120.32,36.4,120.2,9.46,6.45,2.84,32.96,43856.01,66.07,32.07,40.74,41.93,330.18,0,3688.12,5827.83,0,5887.09,1376.02,57604.19,57604.19,34834.81,12265.7,0,18405.05,22769.38,1286.61,43856.01,195.87,44051.88,3977.55,14471.89,0,340.71
Dec-14,2.57,112.27,94.15,155.9,224.9,224.9,589.6,3047.53,12566.26,323.85,438.37,99.84,67.96,1279.125,10880.43,733.87,2.84,273.58,226.87,94.15,32,32.04,33.92,16.41,6.25,66.08,0.04,6440.38,404383.76,195.87,20275.4,8976.72,43.66,42.1,12.54,8.57,7546.43,89.69,6875.54,279.61,6.45,-5684.32,-7189.32,12941.93,114.52,28.56,5711.15,23544.47,94.32,5098.55,4718.66,0,2460.32,1625.88,6354.75,1503.16,690.44,1544.99,3366.1,5711.15,7281.33,7293.87,5790.71,7281.33,38.11,125.84,36.44,120.32,36.4,120.2,9.46,6.45,2.84,32.96,43856.01,66.07,32.07,40.74,41.93,330.18,0,3688.12,5827.83,0,5887.09,1570.18,57604.19,57604.19,34834.81,12265.7,0,18936.35,22769.38,1286.61,43856.01,195.87,44051.88,3977.55,14471.89,0,350.51
Mar-15,1.97,116.66,98.31,155.9,231.87,231.87,523.21,2706.94,16502.5,438.37,429.78,105.43,25.07,1276.974976,9161.54,747.47,2.46,303.47,271.46,98.31,79,74.93,80.35,18.93,6.56,19.65,0.04,8642.43,482638.45,195.87,24745.56,10703.23,-27.26,31.41,5.16,12.34,5962.57,64.71,8452.55,126.91,6.78,-16914.2,611.01,16319.89,-8.59,26.17,3457.26,24549.97,98.32,2651.23,2271.34,0,2491.47,1137.62,6658.41,1299.44,722.15,524.68,2778.89,3457.26,4424.38,4429.54,3130.1,4425,34.65,130.16,32.75,123.05,33.36,125.34,10.98,6.78,2.45,47.37,45220.57,19.64,30.53,41.32,42.4,375.65,185.56,3352.18,7019.35,0,7964.88,967.74,63065.3,63065.3,40430.14,16463.63,0.01,18798.23,22635.16,1185.23,45220.57,195.87,45416.44,6767.25,17036.76,0,367.29
Jun-15,1.97,116.66,98.31,155.9,231.87,231.87,523.21,2706.94,16502.5,438.37,429.78,105.43,25.07,1275.474976,9161.54,747.47,2.46,303.47,271.46,98.31,79,74.93,80.35,18.93,6.56,19.65,0.04,10104,482638.45,197.04,24745.56,10703.23,-27.26,31.41,1,12.34,5962.57,64.71,8452.55,126.91,6.78,-16914.2,611.01,16319.89,-8.59,26.17,5633,24549.97,98.32,2651.23,2271.34,0,2491.47,1137.62,3752,991,722.15,524.68,2778.89,5633,7135,7136,6145,7135,34.65,130.16,32.75,123.05,33.36,125.34,10.98,6.78,2.45,47.37,45220.57,19.64,30.53,41.32,42.4,375.65,185.56,3352.18,7019.35,0,7964.88,1502,63065.3,63065.3,40430.14,16463.63,0.01,20349,22635.16,1185.23,45220.57,195.87,45416.44,6767.25,17036.76,0,348
Sep-15,1.97,116.66,98.31,155.9,231.87,231.87,523.21,2706.94,16502.5,438.37,429.78,105.43,25.07,1294.025024,9161.54,747.47,2.46,303.47,271.46,98.31,79,74.93,80.35,18.93,6.56,19.65,0.04,10318,482638.45,197.04,24745.56,10703.23,-27.26,31.41,3,12.34,5962.57,64.71,8452.55,126.91,6.78,-16914.2,611.01,16319.89,-8.59,26.17,5723,24549.97,98.32,2651.23,2271.34,0,2491.47,1137.62,4247,679,722.15,524.68,2778.89,5723,7385,7388,6709,7385,34.65,130.16,32.75,123.05,33.36,125.34,10.98,6.78,2.45,47.37,45220.57,19.64,30.53,41.32,42.4,375.65,185.56,3352.18,7019.35,0,7964.88,1662,63065.3,63065.3,40430.14,16463.63,0.01,21636,22635.16,1185.23,45220.57,195.87,45416.44,6767.25,17036.76,0,362
Dec-15,1.97,116.66,98.31,155.9,231.87,231.87,523.21,2706.94,16502.5,438.37,429.78,105.43,25.07,1218.425049,9161.54,747.47,2.46,303.47,271.46,98.31,79,74.93,80.35,18.93,6.56,19.65,0.04,10809,482638.45,197.04,24745.56,10703.23,-27.26,31.41,5,12.34,5962.57,64.71,8452.55,126.91,6.78,-16914.2,611.01,16319.89,-8.59,26.17,5991,24549.97,98.32,2651.23,2271.34,0,2491.47,1137.62,4020,1147,722.15,524.68,2778.89,5991,7569,7574,6427,7569,34.65,130.16,32.75,123.05,33.36,125.34,10.98,6.78,2.45,47.37,45220.57,19.64,30.53,41.32,42.4,375.65,185.56,3352.18,7019.35,0,7964.88,1578,63065.3,63065.3,40430.14,16463.63,0.01,21621,22635.16,1185.23,45220.57,195.87,45416.44,6767.25,17036.76,0,365
Mar-16,0,110.91,117.11,155.9,330.02,330.02,474.13,1640,4806,461,4383,124.54,67.43,1260.150024,19695.42,21930,4.72,2530,366,117.11,43.5,32.57,34.63,15.94,5.72,65.37,0.05,11189,491018.85,197.04,29554.53,10720,40,24,4,9,9540.44,50,2432,40,5.77,-9586,-4518,17986,3922,26.87,5728,29339,117.13,2229,2228.28,0,5711,690.88,4371,940,639,6129,5051,5728,7250,7254,6314,7250,35.88,156.4,34.18,148.99,34.16,148.93,7.62,5.77,4.72,27.66,64816,65.36,29.8,34.9,35.49,435.86,113,2523,115,0,9056,1522,77417,77417,53377,11309,0,22258,24040,1095,64816,197,65013,5370,19058,0,384
Jun-16,0,110.91,117.11,155.9,330.02,330.02,474.13,1640,4806,461,4383,124.54,67.43,1276.550049,19695.42,21930,4.72,2530,366,117.11,43.5,32.57,34.63,15.94,5.72,65.37,0.05,11891,491018.85,197.04,29554.53,10720,40,24,6,9,9540.44,50,2432,40,5.77,-9586,-4518,17986,3922,26.87,5778,29339,117.13,2229,2228.28,0,5711,690.88,4389,979,639,6129,5051,5778,7394,7400,6421,7394,35.88,156.4,34.18,148.99,34.16,148.93,7.62,5.77,4.72,27.66,64816,65.36,29.8,34.9,35.49,435.86,113,2523,115,0,9056,1616,77417,77417,53377,11309,0,23087,24040,1095,64816,197,65013,5370,19058,0,386
Sep-16,0,110.91,117.11,155.9,330.02,330.02,474.13,1640,4806,461,4383,124.54,67.43,1215.400024,19695.42,21930,4.72,2530,366,117.11,43.5,32.57,34.63,15.94,5.72,65.37,0.05,11937,491018.85,197.04,29554.53,10720,40,24,3,9,9540.44,50,2432,40,5.77,-9586,-4518,17986,3922,26.87,5958,29339,117.13,2229,2228.28,0,5711,690.88,4260,1175,639,6129,5051,5958,7595,7598,6423,7595,35.88,156.4,34.18,148.99,34.16,148.93,7.62,5.77,4.72,27.66,64816,65.36,29.8,34.9,35.49,435.86,113,2523,115,0,9056,1637,77417,77417,53377,11309,0,23016,24040,1095,64816,197,65013,5370,19058,0,396
Dec-16,0,110.91,117.11,155.9,330.02,330.02,474.13,1640,4806,461,4383,124.54,67.43,1182.775024,19695.42,21930,4.72,2530,366,117.11,43.5,32.57,34.63,15.94,5.72,65.37,0.05,11941,491018.85,197.04,29554.53,10720,40,24,3,9,9540.44,50,2432,40,5.77,-9586,-4518,17986,3922,26.87,6084,29339,117.13,2229,2228.28,0,5711,690.88,4495,1360,639,6129,5051,6084,7711,7714,6354,7711,35.88,156.4,34.18,148.99,34.16,148.93,7.62,5.77,4.72,27.66,64816,65.36,29.8,34.9,35.49,435.86,113,2523,115,0,9056,1627,77417,77417,53377,11309,0,23184,24040,1095,64816,197,65013,5370,19058,0,394
Mar-17,0,103.26,120.04,155.9,396.05,396.05,0,1477,1316,4383,790,128.06,63.69,1215.900024,10149,40729,6.4,2447,314,120.04,47,36.31,38.73,15.09,5.16,61.27,0.05,12347,477854.7,197.04,31553,10708,-52,17,4,21,4413.95,44,6,39,5.17,-10891,-15782,23132,-3593,25.51,5833,23653,120.07,2201,2201,0,6245,86370,4344,1054,638,5954,7090,5833,7366,7370,6316,7366,34.15,160.7,32.45,152.7,32.43,152.62,6.14,5.17,6.39,0,77825,61.26,26.35,38.05,30.31,470.52,200,2704,66,561,9214,1533,89758,89758,68442,10701,0,23406,21316,1035,77825,197,78022,4190,16582,561,399
Jun-17,0,103.26,120.04,155.9,396.05,396.05,0,1477,1316,4383,790,128.06,63.69,1181.175049,10149,40729,6.4,2447,314,120.04,47,36.31,38.73,15.09,5.16,61.27,0.05,12740,477854.7,191,31553,10708,-52,17,21,21,4413.95,44,6,39,5.17,-10891,-15782,23132,-3593,25.51,6670,23653,120.07,2201,2201,0,6245,86370,4450,2414,638,5954,7090,6670,8283,8304,5890,8283,34.15,160.7,32.45,152.7,32.43,152.62,6.14,5.17,6.39,0,77825,61.26,26.35,38.05,30.31,470.52,200,2704,66,561,9214,1613,89758,89758,68442,10701,0,23476,21316,1035,77825,197,78022,4190,16582,561,396
Sep-17,0,103.26,120.04,155.9,396.05,396.05,0,1477,1316,4383,790,128.06,63.69,1217.974976,10149,40729,6.4,2447,314,120.04,47,36.31,38.73,15.09,5.16,61.27,0.05,12896,477854.7,191,31553,10708,-52,17,4,21,4413.95,44,6,39,5.17,-10891,-15782,23132,-3593,25.51,5746,23653,120.07,2201,2201,0,6245,86370,4223,807,638,5954,7090,5746,7304,7308,6501,7304,34.15,160.7,32.45,152.7,32.43,152.62,6.14,5.17,6.39,0,77825,61.26,26.35,38.05,30.31,470.52,200,2704,66,561,9214,1558,89758,89758,68442,10701,0,24032,21316,1035,77825,197,78022,4190,16582,561,412
Dec-17,0,103.26,120.04,155.9,396.05,396.05,0,1477,1316,4383,790,128.06,63.69,1350.599976,10149,40729,6.4,2447,314,120.04,47,36.31,38.73,15.09,5.16,61.27,0.05,12669,477854.7,191,31553,10708,-52,17,2,21,4413.95,44,6,39,5.17,-10891,-15782,23132,-3593,25.51,6069,23653,120.07,2201,2201,0,6245,86370,4492,1043,638,5954,7090,6069,7739,7741,6698,7739,34.15,160.7,32.45,152.7,32.43,152.62,6.14,5.17,6.39,0,77825,61.26,26.35,38.05,30.31,470.52,200,2704,66,561,9214,1670,89758,89758,68442,10701,0,24278,21316,1035,77825,197,78022,4190,16582,561,419
Mar-18,0,106.91,131.15,151.15,397.2,397.2,0,1238,3487,790,1278,140.77,65.48,1424.574951,8355,35073,4.85,3051,424,131.15,50,34.52,36.78,16.1,5.56,63.22,0.05,13194,540949.3,191,33014,10678,94,10,3,25,3894.24,39,1503,26,5.59,-26827,5634,21587,488,25.92,6756,25241,132.15,2186,2186,0,8931,92258,4887,1539,643,5416,7962,6756,8605,8608,7069,8605,34.52,175.96,32.82,167.34,32.79,167.18,7.17,5.59,4.85,0,75675,63.21,27.72,41.5,33.27,509.72,181,2793,171,768,9430,1849,91056,91056,68222,14058,0,25570,22834,1132,75675,191,75866,4775,18882,768,420
Jun-18,0,106.91,131.15,151.15,397.2,397.2,0,1238,3487,790,1278,140.77,65.48,1847.75,8355,35073,4.85,3051,424,131.15,50,34.52,36.78,16.1,5.56,63.22,0.05,14126,540949.3,383,33014,10678,94,10,12,25,3894.24,39,1503,26,5.59,-26827,5634,21587,488,25.92,7136,25241,132.15,2186,2186,0,8931,92258,6854,2381,643,5416,7962,7136,10342,10354,7973,10342,34.52,175.96,32.82,167.34,32.79,167.18,7.17,5.59,4.85,0,75675,63.21,27.72,41.5,33.27,509.72,181,2793,171,768,9430,3206,91056,91056,68222,14058,0,29368,22834,1132,75675,191,75866,4775,18882,768,415
