Year,Adjustments On Amalgamation Merger Demerger Others,Asset Turnover Ratio (%),Basic EPS (Rs.),Bonus Equity Share Capital,Book Value [ExclRevalReserve]/Share (Rs.),Book Value [InclRevalReserve]/Share (Rs.),Capital Goods,Capital Work-In-Progress,Cash And Cash Equivalents,Cash And Cash Equivalents Begin of Year,Cash And Cash Equivalents End Of Year,Cash EPS (Rs.),Cash Earnings Retention Ratio (%),Close,Contingent Liabilities,Current Investments,Current Ratio (X),Deferred Tax Assets [Net],Deferred Tax Liabilities [Net],Diluted EPS (Rs.),Dividend / Share(Rs.),Dividend Payout Ratio (CP) (%),Dividend Payout Ratio (NP) (%),EV/EBITDA (X),EV/Net Operating Revenue (X),Earnings Retention Ratio (%),Earnings Yield,Employees Cost,Enterprise Value (Cr.),Equity Share Capital,Expenditure In Foreign Currency,FOB Value Of Goods,Fixed Assets,Foreign Exchange Gains / Losses,Intangible Assets,Inventories,Inventory Turnover Ratio (X),Long Term Borrowings,Long Term Loans And Advances,Long Term Provisions,MarketCap/Net Operating Revenue (X),Net Cash Used From Financing Activities,Net Cash Used In Investing Activities,Net CashFlow From Operating Activities,Net Inc/Dec In Cash And Cash Equivalents,Net Profit Margin (%),Net Profit/(Loss) For the Period,Net Profit/Loss Before Extraordinary Items And Tax,Net Profit/Share (Rs.),Non-Current Investments,Non-Current Investments Unquoted Book Value,Other Assets,Other Current Liabilities,Other Expenses,Other Income,Other Long Term Liabilities,Other Non-Current Assets,OtherCurrentAssets,P/L After Tax from Ordinary Activities,P/L Before Exceptional Items & Tax,"P/L Before Int., Excpt. Items & Tax","P/L Before Other Inc. , Int., Excpt. Items & Tax",P/L Before Tax,PBDIT Margin (%),PBDIT/Share (Rs.),PBIT Margin (%),PBIT/Share (Rs.),PBT Margin (%),PBT/Share (Rs.),Price/BV (X),Price/Net Operating Revenue,Quick Ratio (X),Raw Materials,Reserves Excluding Revaluation Reserves,Reserves and Surplus,Retention Ratios (%),Return on Assets (%),Return on Capital Employed (%),Return on Networth / Equity (%),Revenue from Operations/Share (Rs.),Short Term Borrowings,Short Term Loans And Advances,Short Term Provisions,"Stores, Spares And Loose Tools",Tangible Assets,Tax,Total Assets,Total Capital And Liabilities,Total Current Assets,Total Current Liabilities,Total Debt/Equity (X),Total Income From Operations,Total Non-Current Assets,Total Non-Current Liabilities,Total Reserves and Surplus,Total Share Capital,Total Shareholders Funds,Trade Payables,Trade Receivables,Trade/Other Goods,depreciat
Sep-12,110,87.26,147.51,267.66,518.41,518.41,0,588,18057,15165,19557,161.39,70.87,316.8687439,1024,0,4.88,189,0,147.5,47,29.13,31.86,12.31,4.68,68.14,0.05,4882,146391.13,287,13532,31187,4649,60,0,0,0,0,0,0,5.26,-2298,565,5955,4392,27.1,2342,11096,147.56,1409,1409,0,2454,1482,628,0,0,1513,2273,3155,3155,2527,3155,38.04,207.14,35.5,193.31,37.05,201.74,5.53,5.26,4.88,0,29470,29470,68.13,23.64,28.46,28.46,544.49,0,4594,3604,0,4061,882,35815,35815,29568,6058,0,9129,6247,0,29470,287,29757,0,5404,0,238
Dec-12,110,87.26,147.51,267.66,518.41,518.41,0,588,18057,15165,19557,161.39,70.87,289.8374939,1024,0,4.88,189,0,147.5,47,29.13,31.86,12.31,4.68,68.14,0.05,5086,146391.13,287,13532,31187,4649,60,0,0,0,0,0,0,5.26,-2298,565,5955,4392,27.1,2265,11096,147.56,1409,1409,0,2454,1495,481,0,0,1513,2265,3050,3050,2569,3050,38.04,207.14,35.5,193.31,37.05,201.74,5.53,5.26,4.88,0,29470,29470,68.13,23.64,28.46,28.46,544.49,0,4594,3604,0,4061,785,35815,35815,29568,6058,0,9398,6247,0,29470,287,29757,0,5404,0,248
Mar-13,0,85.44,158.76,267.66,628.21,628.21,307,1135,20401,19557,20401,175.47,76.06,361.1687622,1693,1580,4.82,378,56,158.76,42,23.94,26.45,11,3.96,73.55,0.05,5199,145479.26,287,16834,36020,5588,45,28,0,0,0,1529,0,4.51,-3319,-2824,6942,844,24.79,2305,12274,158.82,2764,2456,0,2827,1499,647,120,31,2217,2305,3022,3022,2375,3022,35.98,230.49,33.38,213.83,33.61,215.28,4.6,4.51,4.82,0,29470,35772,73.54,21.18,25.15,25.28,640.51,0,2175,3788,3,4425,717,43028,43028,32738,6793,0,9329,10290,176,35772,287,36059,178,6365,3,256
Jun-13,0,85.44,158.76,267.66,628.21,628.21,307,1135,20401,19557,20401,175.47,76.06,312.3562622,1693,1580,4.82,378,56,158.76,42,23.94,26.45,11,3.96,73.55,0.05,5567,145479.26,287,16834,36020,5588,45,28,0,0,0,1529,0,4.51,-3319,-2824,6942,844,24.79,2250,12274,158.82,2764,2456,0,2827,1629,563,120,31,2217,2250,3076,3076,2513,3076,35.98,230.49,33.38,213.83,33.61,215.28,4.6,4.51,4.82,0,35772,35772,73.54,21.18,25.15,25.28,640.51,0,2175,3788,3,4425,826,43028,43028,32738,6793,0,9959,10290,176,35772,287,36059,178,6365,3,250
Sep-13,0,85.44,158.76,267.66,628.21,628.21,307,1135,20401,19557,20401,175.47,76.06,376.625,1693,1580,4.82,378,56,158.76,42,23.94,26.45,11,3.96,73.55,0.05,6572,145479.26,287,16834,36020,5588,45,28,0,0,0,1529,0,4.51,-3319,-2824,6942,844,24.79,2326,12274,158.82,2764,2456,0,2827,1948,503,120,31,2217,2326,3208,3208,2705,3208,35.98,230.49,33.38,213.83,33.61,215.28,4.6,4.51,4.82,0,35772,35772,73.54,21.18,25.15,25.28,640.51,0,2175,3788,3,4425,882,43028,43028,32738,6793,0,11482,10290,176,35772,287,36059,178,6365,3,257
Dec-13,0,85.44,158.76,267.66,628.21,628.21,307,1135,20401,19557,20401,175.47,76.06,435.7062378,1693,1580,4.82,378,56,158.76,42,23.94,26.45,11,3.96,73.55,0.05,6158,145479.26,286,16834,36020,5588,45,28,0,0,0,1529,0,4.51,-3319,-2824,6942,844,24.79,2735,12274,158.82,2764,2456,0,2827,1968,708,120,31,2217,2735,3831,3831,3123,3831,35.98,230.49,33.38,213.83,33.61,215.28,4.6,4.51,4.82,0,35772,35772,73.54,21.18,25.15,25.28,640.51,0,2175,3788,3,4425,1096,43028,43028,32738,6793,0,11534,10290,176,35772,287,36059,178,6365,3,285
Mar-14,0,84.11,178.39,267.66,735.87,735.87,374,954,24100,20402,24100,197.47,67.97,410.3500061,1020,2749,3.83,542,0,178.39,63,32.03,35.49,10.82,3.69,64.51,0.05,6053,163450.22,286,21400,43150,6686,34,13,0,0,0,2227,0,4.23,-3177,-2307,9148,3698,22.99,2883,14002,178.22,3968,2668,0,4071,1819,802,364,52,2392,2883,3887,3887,3085,3887,34.06,264.04,31.57,244.79,31.57,244.79,4.46,4.23,3.83,0,35772,41806,64.5,19.33,24.01,24.21,775.19,0,2660,6117,3,5719,1004,52712,52712,39237,10256,0,11366,13475,364,41806,286,42092,68,7336,3,409
Jun-14,0,84.11,178.39,267.66,735.87,735.87,374,954,24100,20402,24100,197.47,67.97,406.9437561,1020,2749,3.83,542,0,178.39,63,32.03,35.49,10.82,3.69,64.51,0.05,6234,163450.22,286,21400,43150,6686,34,13,0,0,0,2227,0,4.23,-3177,-2307,9148,3698,22.99,2720,14002,178.22,3968,2668,0,4071,1888,790,364,52,2392,2720,3795,3795,3005,3795,34.06,264.04,31.57,244.79,31.57,244.79,4.46,4.23,3.83,0,41806,41806,64.5,19.33,24.01,24.21,775.19,0,2660,6117,3,5719,1075,52712,52712,39237,10256,0,11319,13475,364,41806,286,42092,68,7336,3,192
Sep-14,0,84.11,178.39,267.66,735.87,735.87,374,954,24100,20402,24100,197.47,67.97,468.46875,1020,2749,3.83,542,0,178.39,63,32.03,35.49,10.82,3.69,64.51,0.05,6340,163450.22,286,21400,43150,6686,34,13,0,0,0,2227,0,4.23,-3177,-2307,9148,3698,22.99,3365,14002,178.22,3968,2668,0,4071,1936,833,364,52,2392,3365,4169,4169,3336,4581,34.06,264.04,31.57,244.79,31.57,244.79,4.46,4.23,3.83,0,41806,41806,64.5,19.33,24.01,24.21,775.19,0,2660,6117,3,5719,1216,52712,52712,39237,10256,0,11863,13475,364,41806,286,42092,68,7336,3,251
Dec-14,0,84.11,178.39,267.66,735.87,735.87,374,954,24100,20402,24100,197.47,67.97,493.1375122,1020,2749,3.83,542,0,178.39,63,32.03,35.49,10.82,3.69,64.51,0.05,6358,163450.22,572,21400,43150,6686,34,13,0,0,0,2227,0,4.23,-3177,-2307,9148,3698,22.99,3055,14002,178.22,3968,2668,0,4071,2176,823,364,52,2392,3055,4252,4252,3429,4252,34.06,264.04,31.57,244.79,31.57,244.79,4.46,4.23,3.83,0,41806,41806,64.5,19.33,24.01,24.21,775.19,0,2660,6117,3,5719,1197,52712,52712,39237,10256,0,12192,13475,364,41806,286,42092,68,7336,3,229
Mar-15,0,76.52,105.91,554.66,418.71,418.71,415,769,27722,24100,27722,113.91,60.92,554.5875244,1461,749,3.12,433,0,105.91,59.5,39.08,42.01,13.11,4.79,57.99,0.05,6183,226743.68,574,21627,46153,8116,-37,0,0,0,0,4378,0,5.38,-4961,665,7955,3622,25.71,3024,16798,105.96,6108,4874,0,5546,2223,891,30,26,2423,3024,4170,4170,3279,4170,36.57,150.69,34.64,142.74,35.51,146.32,5.29,5.38,3.12,0,47494,47494,57.98,19.67,25.29,25.3,412.02,0,3231,8045,3,7347,1146,61813,61813,42752,13715,0,11926,19061,30,47494,574,48068,124,8627,3,241
Jun-15,0,76.52,105.91,554.66,418.71,418.71,415,769,27722,24100,27722,113.91,60.92,492.1749878,1461,749,3.12,433,0,105.91,59.5,39.08,42.01,13.11,4.79,57.99,0.05,6807,226743.68,1148,21627,46153,8116,-37,0,0,0,0,4378,0,5.38,-4961,665,7955,3622,25.71,2891,16798,105.96,6108,4874,0,5546,2410,721,30,26,2423,2891,3990,3990,3269,3990,36.57,150.69,34.64,142.74,35.51,146.32,5.29,5.38,3.12,0,36730.231,47494,57.98,19.67,25.29,25.3,412.02,0,3231,8045,3,7347,1099,61813,61813,42752,13715,0,12738,19061,30,47494,574,48068,124,8627,3,252
Sep-15,0,76.52,105.91,554.66,418.71,418.71,415,769,27722,24100,27722,113.91,60.92,580.9749756,1461,749,3.12,433,0,105.91,59.5,39.08,42.01,13.11,4.79,57.99,0.05,6987,226743.68,1148,21627,46153,8116,-37,0,0,0,0,4378,0,5.38,-4961,665,7955,3622,25.71,3248,16798,105.96,6108,4874,0,5546,2488,775,30,26,2423,3248,4553,4553,3778,4553,36.57,150.69,34.64,142.74,35.51,146.32,5.29,5.38,3.12,0,51617,47494,57.98,19.67,25.29,25.3,412.02,0,3231,8045,3,7347,1305,61813,61813,42752,13715,0,13525,19061,30,47494,574,48068,124,8627,3,272
Dec-15,0,76.52,105.91,554.66,418.71,418.71,415,769,27722,24100,27722,113.91,60.92,552.7000122,1461,749,3.12,433,0,105.91,59.5,39.08,42.01,13.11,4.79,57.99,0.05,7115,226743.68,1148,21627,46153,8116,-37,0,0,0,0,4378,0,5.38,-4961,665,7955,3622,25.71,3163,16798,105.96,6108,4874,0,5546,2556,737,30,26,2423,3163,4353,4353,3616,4353,36.57,150.69,34.64,142.74,35.51,146.32,5.29,5.38,3.12,0,51617,47494,57.98,19.67,25.29,25.3,412.02,0,3231,8045,3,7347,1190,61813,61813,42752,13715,0,13562,19061,30,47494,574,48068,124,8627,3,275
Mar-16,0,74.22,55.26,1128.89,266.04,266.04,0,934,29176,27722,29176,60.14,59.67,609.1500244,1483,2,3.98,405,0,55.26,24.25,40.33,43.88,13.38,4.64,56.12,0.05,7297,250465.32,1148,26529,52866,9182,-9,0,0,0,0,5,0,5.18,-6908,-1207,9578,1454,23.51,3391,12693,55.28,11076,9543,0,10529,2614,773,62,5967,6766,3391,4705,4705,3932,4705,34.66,81.51,32.6,76.66,32.6,76.66,4.58,5.18,3.98,0,59934,59934,56.11,17.45,20.75,20.78,235.12,0,355,436,0,8248,1314,72732,72732,46097,11588,0,14158,26635,62,59934,1148,61082,623,9798,0,315
Jun-16,0,74.22,55.26,1128.89,266.04,266.04,0,934,29176,27722,29176,60.14,59.67,585.4000244,1483,2,3.98,405,0,55.26,24.25,40.33,43.88,13.38,4.64,56.12,0.05,7605,250465.32,1148,26529,52866,9182,-9,0,0,0,0,5,0,5.18,-6908,-1207,9578,1454,23.51,3180,12693,55.28,11076,9543,0,10529,2797,761,62,5967,6766,3180,4460,4460,3699,4460,34.66,81.51,32.6,76.66,32.6,76.66,4.58,5.18,3.98,0,59934,59934,56.11,17.45,20.75,20.78,235.12,0,355,436,0,8248,1280,72732,72732,46097,11588,0,14420,26635,62,59934,1148,61082,623,9798,0,319
Sep-16,0,74.22,55.26,1128.89,266.04,266.04,0,934,29176,27722,29176,60.14,59.67,518.0250244,1483,2,3.98,405,0,55.26,24.25,40.33,43.88,13.38,4.64,56.12,0.05,7939,250465.32,1148,26529,52866,9182,-9,0,0,0,0,5,0,5.18,-6908,-1207,9578,1454,23.51,3476,12693,55.28,11076,9543,0,10529,2674,763,62,5967,6766,3476,4812,4812,4049,4812,34.66,81.51,32.6,76.66,32.6,76.66,4.58,5.18,3.98,0,59934,59934,56.11,17.45,20.75,20.78,235.12,0,355,436,0,8248,1336,72732,72732,46097,11588,0,15000,26635,62,59934,1148,61082,623,9798,0,338
Dec-16,0,74.22,55.26,1128.89,266.04,266.04,0,934,29176,27722,29176,60.14,59.67,505.2999878,1483,2,3.98,405,0,55.26,24.25,40.33,43.88,13.38,4.64,56.12,0.05,7733,250465.32,1148,26529,52866,9182,-9,0,0,0,0,5,0,5.18,-6908,-1207,9578,1454,23.51,3599,12693,55.28,11076,9543,0,10529,2799,805,62,5967,6766,3599,4883,4883,4078,4883,34.66,81.51,32.6,76.66,32.6,76.66,4.58,5.18,3.98,0,59934,59934,56.11,17.45,20.75,20.78,235.12,0,355,436,0,8248,1284,72732,72732,46097,11588,0,14949,26635,62,59934,1148,61082,623,9798,0,339
Mar-17,0,74.21,60.16,1128.89,296.24,296.24,0,1247,19153,29176,19153,65.98,53.93,511.125,7727,9643,4.05,346,0,60.15,25.75,46.07,50.51,10.62,3.63,49.49,0.06,7667,215222.68,1148,29088,57734,9852,-39,0,0,0,0,5,0,3.95,-6968,-13494,10478,-10023,23.3,3562,13818,60.18,15334,9569,0,11167,2867,733,82,6666,7616,3562,4783,4783,4050,4783,34.18,88.28,31.94,82.48,31.94,82.48,3.45,3.95,4.05,0,66869,66869,49.48,17.29,27.8,20.31,258.23,0,310,350,0,8605,1221,79885,79885,47682,11786,0,14920,32203,82,66869,1148,68017,269,10960,0,336
Jun-17,0,74.21,60.16,1128.89,296.24,296.24,0,1247,19153,29176,19153,65.98,53.93,467.7749939,7727,9643,4.05,346,0,60.15,25.75,46.07,50.51,10.62,3.63,49.49,0.06,7752,215222.68,1148,29088,57734,9852,-39,0,0,0,0,5,0,3.95,-6968,-13494,10478,-10023,23.3,3415,13818,60.18,15334,9569,0,11167,2883,723,82,6666,7616,3415,4716,4716,3993,4716,34.18,88.28,31.94,82.48,31.94,82.48,3.45,3.95,4.05,0,66869,66869,49.48,17.29,27.8,20.31,258.23,0,310,350,0,8605,1301,79885,79885,47682,11786,0,14971,32203,82,66869,1148,68017,269,10960,0,343
Sep-17,0,74.21,60.16,1128.89,296.24,296.24,0,1247,19153,29176,19153,65.98,53.93,449.9500122,7727,9643,4.05,346,0,60.15,25.75,46.07,50.51,10.62,3.63,49.49,0.06,8015,215222.68,1148,29088,57734,9852,-39,0,0,0,0,5,0,3.95,-6968,-13494,10478,-10023,23.3,3579,13818,60.18,15334,9569,0,11167,2963,849,82,6666,7616,3579,4880,4880,4031,4880,34.18,88.28,31.94,82.48,31.94,82.48,3.45,3.95,4.05,0,66869,66869,49.48,17.29,27.8,20.31,258.23,0,310,350,0,8605,1301,79885,79885,47682,11786,0,15356,32203,82,66869,1148,68017,269,10960,0,347
Dec-17,0,74.21,60.16,1128.89,296.24,296.24,0,1247,19153,29176,19153,65.98,53.93,521.0250244,7727,9643,4.05,346,0,60.15,25.75,46.07,50.51,10.62,3.63,49.49,0.06,8287,215222.68,1092,29088,57734,9852,-39,0,0,0,0,5,0,3.95,-6968,-13494,10478,-10023,23.3,6004,13818,60.18,15334,9569,0,11167,2879,1811,82,6666,7616,6004,5922,5922,4111,5922,34.18,88.28,31.94,82.48,31.94,82.48,3.45,3.95,4.05,0,66869,66869,49.48,17.29,27.8,20.31,258.23,0,310,350,0,8605,-82,79885,79885,47682,11786,0,15631,32203,82,66869,1148,68017,269,10960,0,354
Mar-18,0,81.63,71.28,1073.82,290.76,290.76,0,1442,16770,19153,16770,80.42,57.3,565.9000244,6068,5906,3.78,1128,505,71.25,43.5,42.7,46.42,10.84,3.73,53.58,0.07,8418,230982.96,1092,31358,60329,10599,-6,130,0,0,0,19,0,4,-20536,5684,12475,-2383,26.08,3157,16155,73.97,11993,6917,0,10488,3449,636,208,8048,8870,3157,4390,4390,3754,4390,34.41,97.6,32.14,91.15,32.14,91.15,3.9,4,3.78,0,62410,62410,53.57,21.29,31,25.44,283.61,0,393,436,0,9027,1233,75877,75877,44090,11662,0,15984,31787,713,62410,1092,63502,738,12151,0,363
Jun-18,0,81.63,71.28,1073.82,290.76,290.76,0,1442,16770,19153,16770,80.42,57.3,653.5999756,6068,5906,3.78,1128,505,71.25,43.5,42.7,46.42,10.84,3.73,53.58,0.07,8826,230982.96,1092,31358,60329,10599,-6,130,0,0,0,19,0,4,-20536,5684,12475,-2383,26.08,3503,16155,73.97,11993,6917,0,10488,3790,716,208,8048,8870,3503,4782,4782,4066,4782,34.41,97.6,32.14,91.15,32.14,91.15,3.9,4,3.78,0,62410,62410,53.57,21.29,31,25.44,283.61,0,393,436,0,9027,1279,75877,75877,44090,11662,0,17056,31787,713,62410,1092,63502,738,12151,0,374
Sep-18,0,81.63,71.28,1073.82,290.76,290.76,0,1442,16770,19153,16770,80.42,57.3,730.0499878,6068,5906,3.78,1128,505,71.25,43.5,42.7,46.42,10.84,3.73,53.58,0.07,9489,230982.96,2184,31358,60329,10599,-6,130,0,0,0,19,0,4,-20536,5684,12475,-2383,26.08,3879,16155,73.97,11993,6917,0,10488,3909,742,208,8048,8870,3879,5251,5251,4509,5251,34.41,97.6,32.14,91.15,32.14,91.15,3.9,4,3.78,0,62410,62410,53.57,21.29,31,25.44,283.61,0,393,436,0,9027,1372,75877,75877,44090,11662,0,18297,31787,713,62410,1092,63502,738,12151,0,390
Dec-18,0,81.63,71.28,1073.82,290.76,290.76,0,1442,16770,19153,16770,80.42,57.3,658.9500122,6068,5906,3.78,1128,505,71.25,43.5,42.7,46.42,10.84,3.73,53.58,0.07,9784,230982.96,2184,31358,60329,10599,-6,130,0,0,0,19,0,4,-20536,5684,12475,-2383,26.08,3501,16155,73.97,11993,6917,0,10488,4443,756,208,8048,8870,3501,4942,4942,4186,4942,34.41,97.6,32.14,91.15,32.14,91.15,3.9,4,3.78,0,62410,62410,53.57,21.29,31,25.44,283.61,0,393,436,0,9027,1441,75877,75877,44090,11662,0,18819,31787,713,62410,1092,63502,738,12151,0,406
Mar-19,0,92.62,33.66,2165.82,143.96,143.96,0,1212,15551,16770,15551,37.42,15.54,743.8499756,4617,6077,3,1114,541,33.64,21.5,84.46,93.64,14.3,4.21,6.36,0.05,10198,307794.88,2178,39467,71719,11709,-50,103,0,0,0,16,0,4.42,-14571,-587,13989,-1219,20.11,3820,14702,33.75,12062,5749.47027,0,13321,3994,639,248,7806,10177,3820,4953,4953,4314,4953,29.44,49.42,27.25,45.75,27.25,45.75,5.16,4.42,3,0,60533,60533,6.35,18.62,31.38,23.44,167.83,0,1048,505,0,10394,1133,78930,78930,46223,15430,0,18935,32707,789,60533,2178,62711,1604,13370,0,429
Jun-19,0,92.62,33.66,2165.82,143.96,143.96,0,1212,15551,16770,15551,37.42,15.54,732,4617,6077,3,1114,541,33.64,21.5,84.46,93.64,14.3,4.21,6.36,0.05,10380,307794.88,2145,39467,71719,11709,-50,103,0,0,0,16,0,4.42,-14571,-587,13989,-1219,20.11,3569,14702,33.75,12062,5749.47027,0,13321,4106,713,248,7806,10177,3569,4821,4848,4135,4821,29.44,49.42,27.25,45.75,27.25,45.75,5.16,4.42,3,0,60533,60533,6.35,18.62,31.38,23.44,167.83,0,1048,505,0,10394,1252,78930,78930,46223,15430,0,19131,32707,789,60533,2178,62711,1604,13370,0,510
Sep-19,0,92.62,33.66,2165.82,143.96,143.96,0,1212,15551,16770,15551,37.42,15.54,805.6500244,4617,6077,3,1114,541,33.64,21.5,84.46,93.64,14.3,4.21,6.36,0.05,10604,307794.88,2129,39467,71719,11709,-50,103,0,0,0,16,0,4.42,-14571,-587,13989,-1219,20.11,3829,14702,33.75,12062,5749.47027,0,13321,3973,604,248,7806,10177,3829,5123,5151,4547,5123,29.44,49.42,27.25,45.75,27.25,45.75,5.16,4.42,3,0,60533,60533,6.35,18.62,31.38,23.44,167.83,0,1048,505,0,10394,1294,78930,78930,46223,15430,0,19666,32707,789,60533,2178,62711,1604,13370,0,542
Dec-19,0,92.62,33.66,2165.82,143.96,143.96,0,1212,15551,16770,15551,37.42,15.54,731.1500244,4617,6077,3,1114,541,33.64,21.5,84.46,93.64,14.3,4.21,6.36,0.05,10783,307794.88,2129,39467,71719,11709,-50,103,0,0,0,16,0,4.42,-14571,-587,13989,-1219,20.11,4076,14702,33.75,12062,5749.47027,0,13321,4102,798,248,7806,10177,4076,5405,5433,4635,5405,29.44,49.42,27.25,45.75,27.25,45.75,5.16,4.42,3,0,36730.231,60533,6.35,18.62,31.38,23.44,167.83,0,1048,505,0,10394,1329,78930,78930,46223,15430,0,20064,32707,789,60533,2178,62711,1604,13370,0,544
Mar-20,0,97.53,36.34,2117.09,146.16,146.16,0,945,13562,15551,13562,41.54,45.99,641.5,4730,4006,2.88,1429,556,36.32,17.5,54.01,61.46,11.4,3.28,38.54,0.06,10666,259077.74,2129,44254,77974,14919,-54,77,0,0,0,298,0,3.45,-17391,-116,15572,-1989,19.66,4069,15543,36.5,13916,9490,0,13185,4399,585,3031,6659,10486,4069,5128,5159,4574,5128,28.76,53.39,26.04,48.36,25.9,48.09,4.38,3.45,2.88,0,60105,59808,38.53,19.17,31.28,24.97,185.64,0,307,506,0,13897,1059,81041,81041,43820,15220,0,20187,37221,3587,59808,2129,62234,1529,15459,0,548
Jun-20,0,97.53,36.34,2117.09,146.16,146.16,0,945,13562,15551,13562,41.54,45.99,735.9500122,4730,4006,2.88,1429,556,36.32,17.5,54.01,61.46,11.4,3.28,38.54,0.06,11222,259077.74,2129,44254,77974,14919,-54,77,0,0,0,298,0,3.45,-17391,-116,15572,-1989,19.66,4008,15543,36.5,13916,9490,0,13185,3626,478,3031,6659,10486,4008,5378,5409,4931,5378,28.76,53.39,26.04,48.36,25.9,48.09,4.38,3.45,2.88,0,60105,59808,38.53,19.17,31.28,24.97,185.64,0,307,506,0,13897,1370,81041,81041,43820,15220,0,20325,37221,3587,59808,2129,62234,1529,15459,0,546
Sep-20,0,97.53,36.34,2117.09,146.16,146.16,0,945,13562,15551,13562,41.54,45.99,1008.25,4730,4006,2.88,1429,556,36.32,17.5,54.01,61.46,11.4,3.28,38.54,0.06,11053,259077.74,2129,44254,77974,14919,-54,77,0,0,0,298,0,3.45,-17391,-116,15572,-1989,19.66,4497,15543,36.5,13916,9490,0,13185,3773,582,3031,6659,10486,4497,6163,6194,5612,6163,28.76,53.39,26.04,48.36,25.9,48.09,4.38,3.45,2.88,0,60105,59808,38.53,19.17,31.28,24.97,185.64,0,307,506,0,13897,1666,81041,81041,43820,15220,0,21046,37221,3587,59808,2129,62234,1529,15459,0,608
Dec-20,0,97.53,36.34,2117.09,146.16,146.16,0,945,13562,15551,13562,41.54,45.99,1255.800049,4730,4006,2.88,1429,556,36.32,17.5,54.01,61.46,11.4,3.28,38.54,0.06,11371,259077.74,2129,44254,77974,14919,-54,77,0,0,0,298,0,3.45,-17391,-116,15572,-1989,19.66,5083,15543,36.5,13916,9490,0,13185,4060,903,3031,6659,10486,5083,6894,6926,6023,6894,28.76,53.39,26.04,48.36,25.9,48.09,4.38,3.45,2.88,0,60105,59808,38.53,19.17,31.28,24.97,185.64,0,307,506,0,13897,1811,81041,81041,43820,15220,0,22043,37221,3587,59808,2129,62234,1529,15459,0,589
Mar-21,0,91.45,42.37,2117.09,167.91,167.91,0,906,17612,13562,17612,47.81,55.04,1368.050049,4372,2037,2.74,955,511,42.33,27,44.96,50.74,20.99,6.58,49.26,0.03,11532,565049.5,2130,46433,84252,15505,23,234,0,0,0,30,0,6.78,-9566,-6309,19902,4050,21,4459,18048,42.37,22118,11003,0,15399,4818,504,4275,7049,12010,4459,6040,6073,5569,6040,31.33,63.2,28.63,57.75,28.49,57.46,8.15,6.78,2.74,0,69401,69029,49.25,19.21,32.23,25.23,201.67,0,229,661,0,14365,1581,93939,93939,48282,17622,0,22497,45657,4786,69029,2130,71531,1562,16394,0,578
Jun-21,0,91.45,42.37,2117.09,167.91,167.91,0,906,17612,13562,17612,47.81,55.04,1580.800049,4372,2037,2.74,955,511,42.33,27,44.96,50.74,20.99,6.58,49.26,0.03,12191,565049.5,2128,46433,84252,15505,23,234,0,0,0,30,0,6.78,-9566,-6309,19902,4050,21,4723,18048,42.37,22118,11003,0,15399,4992,570,4275,7049,12010,4723,6493,6525,5955,6493,31.33,63.2,28.63,57.75,28.49,57.46,8.15,6.78,2.74,0,69401,69029,49.25,19.21,32.23,25.23,201.67,0,229,661,0,14365,1770,93939,93939,48282,17622,0,23714,45657,4786,69029,2130,71531,1562,16394,0,576
Sep-21,0,91.45,42.37,2117.09,167.91,167.91,0,906,17612,13562,17612,47.81,55.04,1675.199951,4372,2037,2.74,955,511,42.33,27,44.96,50.74,20.99,6.58,49.26,0.03,12734,565049.5,2102,46433,84252,15505,23,234,0,0,0,30,0,6.78,-9566,-6309,19902,4050,21,5463,18048,42.37,22118,11003,0,15399,5844,1052,4275,7049,12010,5463,7303,7335,6283,7303,31.33,63.2,28.63,57.75,28.49,57.46,8.15,6.78,2.74,0,69401,69029,49.25,19.21,32.23,25.23,201.67,0,229,661,0,14365,1840,93939,93939,48282,17622,0,25462,45657,4786,69029,2130,71531,1562,16394,0,601
Dec-21,0,91.45,42.37,2117.09,167.91,167.91,0,906,17612,13562,17612,47.81,55.04,1887.75,4372,2037,2.74,955,511,42.33,27,44.96,50.74,20.99,6.58,49.26,0.03,13275,565049.5,2102,46433,84252,15505,23,234,0,0,0,30,0,6.78,-9566,-6309,19902,4050,21,5870,18048,42.37,22118,11003,0,15399,6622,1013,4275,7049,12010,5870,7789,7822,6809,7789,31.33,63.2,28.63,57.75,28.49,57.46,8.15,6.78,2.74,0,69401,69029,49.25,19.21,32.23,25.23,201.67,0,229,661,0,14365,1919,93939,93939,48282,17622,0,27337,45657,4786,69029,2130,71531,1562,16394,0,631
Mar-22,0,1.08,50.27,2017.09,164.78,164.78,0,411,12270,17612,12270,56.26,46.34,1906.849976,5348,5467,2.1,970,841,50.21,31,53.66,59.8,25.44,7.6,40.2,0.03,13464,789898.32,2103,57224,101854,15349,-13,243,0,0,0,34,0,7.72,-24275,-3150,22096,-5342,20.43,5177,21235,50.49,22869,15134,0,21387,6993,590,4264,7728,15515,5177,6908,6939,6349,6908,29.87,73.83,27.53,68.05,27.41,67.75,11.57,7.72,2.1,0,67203,66597,40.19,21.36,38.46,30.63,247.12,0,219,920,0,14695,1731,99387,99387,52437,24976,0,27426,46950,5105,66597,2103,69306,2669,18966,0,620
