0,Other Operating Income,Total Income From Operations,EXPENDITURE,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,depreciat,Excise Duty,Admin. And Selling Expenses,R & D Expenses,Provisions And Contingencies,Exp. Capitalised,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Equity Dividend Rate (%),EPS Before Extra Ordinary,Basic EPS,Diluted EPS,EPS After Extra Ordinary,Basic EPS.,Diluted EPS.,Public Share Holding,No Of Shares (Crores),Share Holding (%),Promoters and Promoter Group Shareholding,a) Pledged/Encumbered,- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company),b) Non-encumbered,- Number of shares (Crores).,- Per. of shares (as a % of the total sh. of prom. and promoter group).,- Per. of shares (as a % of the total Share Cap. of the company).
Sep '15,--,4350.15,,--,47.60,-28.09,--,1635.14,88.38,--,--,--,--,--,1115.68,1491.44,268.11,1759.55,16.65,1742.90,--,1742.90,343.61,1399.29,--,--,1399.29,281.25,--,--,,9.95,9.90,,9.95,9.90,,--,--,,,--,--,--,,--,--,--
Dec '15,--,4471.85,,--,37.18,-16.08,--,1651.37,95.71,--,--,--,--,--,1010.95,1692.72,361.13,2053.85,14.74,2039.11,--,2039.11,389.45,1649.66,--,--,1649.66,281.86,--,--,,11.72,11.68,,11.72,11.68,,--,--,,,--,--,--,,--,--,--
Mar '16,--,4612.64,,--,77.88,-2.62,--,1580.41,92.80,--,--,--,--,--,1131.49,1732.68,283.40,2016.08,14.43,2001.65,--,2001.65,330.14,1671.51,--,--,1671.51,282.08,--,--,,11.86,11.83,,11.86,11.83,,--,--,,,--,--,--,,--,--,--
Jun '16,--,4608.80,,--,64.52,-38.35,--,1569.51,93.36,--,--,--,--,--,904.06,2015.70,220.01,2235.71,10.27,2225.44,--,2225.44,426.15,1799.29,--,--,1799.29,282.15,--,--,,12.76,12.74,,12.76,12.74,,--,--,,,--,--,--,,--,--,--
Sep '16,--,4705.77,,--,14.51,9.00,--,1639.67,102.27,--,--,--,--,--,1080.12,1860.20,237.87,2098.07,2.49,2095.58,--,2095.58,404.86,1690.72,--,--,1690.72,282.18,--,--,,11.98,11.97,,11.98,11.97,,--,--,,,--,--,--,,--,--,--
Dec '16,--,4889.26,,--,23.81,-8.78,--,1694.91,123.42,--,--,--,--,--,1153.58,1902.32,187.53,2089.85,9.43,2080.42,--,2080.42,418.88,1661.54,--,--,1661.54,282.24,--,--,,11.78,11.76,,11.78,11.76,,--,--,,,--,--,--,,--,--,--
Mar '17,--,5114.48,,--,20.47,76.76,--,1939.29,159.84,--,--,--,--,--,1240.29,1677.83,230.64,1908.47,33.84,1874.63,--,1874.63,153.49,1721.14,--,--,1721.14,285.36,--,--,,12.06,12.05,,12.06,12.05,,--,--,,,--,--,--,,--,--,--
Jun '17,--,5179.00,,--,37.00,35.00,--,1761.00,131.00,--,--,--,--,--,1234.00,1981.00,199.00,2180.00,6.00,2174.00,--,2174.00,412.00,1762.00,--,--,1762.00,285.36,--,--,,12.35,12.28,,12.35,12.28,,--,--,,,--,--,--,,--,--,--
Sep '17,--,5460.00,,--,32.00,-4.00,--,1890.00,184.00,--,--,--,--,--,1243.00,2115.00,162.00,2277.00,5.00,2272.00,--,2272.00,482.00,1790.00,--,--,1790.00,278.41,--,--,,12.84,12.83,,12.84,12.83,,--,--,,,--,--,--,,--,--,--
Dec '17,--,5723.00,,--,34.00,-1.00,--,1878.00,294.00,--,--,--,--,--,1271.00,2247.00,143.00,2390.00,6.00,2384.00,--,2384.00,415.00,1969.00,--,--,1969.00,278.41,--,--,,14.14,14.13,,14.14,14.13,,--,--,,,--,--,--,,--,--,--
