0,(a) Int. /Disc. on Adv/Bills,(b) Income on Investment,(c) Int. on balances With RBI,others,Other Income,EXPENDITURE,Interest Expended,Employees Cost,Other Expenses,Depreciation,Operating Profit before Provisions and contingencies,Provisions And Contingencies,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Equity Dividend Rate (%),ANALYTICAL RATIOS,a) % of Share by Govt.,b) Capital Adequacy Ratio - Basel -I,c) Capital Adequacy Ratio - Basel -II,EPS Before Extra Ordinary,Basic EPS,Diluted EPS,EPS After Extra Ordinary,Basic EPS.,Diluted EPS.,NPA Ratios :,i) Gross NPA,ii) Net NPA,i) % of Gross NPA,ii) % of Net NPA,Return on Assets %,Public Share Holding,No Of Shares (Crores),Share Holding (%),Promoters and Promoter Group Shareholding,a) Pledged/Encumbered,- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company),b) Non-encumbered,- Number of shares (Crores).,- Per. of shares (as a % of the total sh. of prom. and promoter group).,- Per. of shares (as a % of the total Share Cap. of the company).,yrc
Dec '05,393.19,335.84,11.10,6.57,173.42,,459.26,62.23,142.43,--,256.20,59.20,--,197.00,65.29,131.71,--,--,131.71,278.57,--,--,,--,11.58,--,,--,--,,--,--,,--,--,--,--,--,,20.13,72.27,,,--,--,--,,--,--,--,200512
Mar '06,459.64,344.44,13.45,15.12,228.07,,519.79,62.47,180.41,--,298.05,68.16,--,229.89,78.16,151.73,--,--,151.73,278.69,--,--,,--,11.08,--,,--,--,,--,--,,--,--,--,--,--,,20.14,72.28,,,--,--,--,,--,--,--,200603
Jun '06,550.34,375.54,16.44,11.60,224.50,,632.08,79.69,159.47,--,307.18,124.81,--,182.37,61.82,120.55,--,--,120.55,280.13,--,--,,--,10.28,--,,--,--,,--,--,,--,--,--,--,--,,20.29,72.43,,,--,--,--,,--,--,--,200606
Sep '06,611.00,416.49,12.64,9.96,204.77,,684.92,98.07,197.38,--,274.49,58.76,--,215.73,73.75,141.98,--,--,141.98,280.51,--,--,,--,11.52,--,,--,--,,--,--,,--,--,--,--,--,,20.33,72.46,,,--,--,--,,--,--,--,200609
Dec '06,705.30,457.28,13.51,13.53,279.74,,773.78,114.66,222.29,--,358.63,76.28,--,282.35,97.74,184.61,--,--,184.61,281.19,--,--,,--,11.83,--,,--,--,,--,--,,--,--,--,--,--,,14.76,52.50,,,--,--,--,,--,--,--,200612
Mar '07,836.21,482.16,34.71,13.69,301.10,,902.54,88.93,254.10,--,422.30,106.51,--,315.79,103.90,211.89,--,--,211.89,281.63,--,--,,--,11.57,--,,--,--,,--,--,,--,--,--,--,--,,14.82,52.64,,,--,--,--,,--,--,--,200703
Jun '07,1012.41,491.92,19.36,13.28,342.32,,1090.14,147.90,273.31,--,367.94,100.91,--,267.03,92.05,174.98,--,--,174.98,282.65,--,--,,--,11.50,--,,--,--,,--,--,,--,--,--,--,--,,15.12,53.48,,,--,--,--,,--,--,--,200706
Sep '07,1133.43,508.64,23.35,11.07,382.88,,1087.82,164.42,344.27,--,462.86,114.46,--,348.40,120.58,227.82,--,--,227.82,356.51,--,--,,--,17.59,--,,--,--,,--,--,,--,--,--,--,--,,18.06,50.67,,,--,--,--,,--,--,--,200709
Dec '07,1229.72,534.94,27.37,10.31,487.90,,1055.00,173.48,389.48,--,672.28,200.05,--,472.23,165.40,306.83,--,--,306.83,357.37,--,--,,--,16.88,--,,--,--,,--,--,,--,--,--,--,--,,18.37,51.41,,,--,--,--,,--,--,--,200712
Mar '08,1370.09,592.73,37.56,15.05,556.47,,1187.00,184.45,477.61,--,722.84,164.22,--,558.62,197.22,361.40,--,--,361.40,357.71,--,--,,--,13.73,--,,--,--,,--,--,,--,--,--,--,--,,19.26,53.84,,,--,--,--,,--,--,--,200803
