0,Other Operating Income,Total Income From Operations,EXPENDITURE,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,depreciat,Excise Duty,Admin. And Selling Expenses,R & D Expenses,Provisions And Contingencies,Exp. Capitalised,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Equity Dividend Rate (%),EPS Before Extra Ordinary,Basic EPS,Diluted EPS,EPS After Extra Ordinary,Basic EPS.,Diluted EPS.,Public Share Holding,No Of Shares (Crores),Share Holding (%),Promoters and Promoter Group Shareholding,a) Pledged/Encumbered,- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company),b) Non-encumbered,- Number of shares (Crores).,- Per. of shares (as a % of the total sh. of prom. and promoter group).,- Per. of shares (as a % of the total Share Cap. of the company).
Mar '16,--,22258.00,,--,--,--,--,11189.00,384.00,--,--,--,--,--,4371.00,6314.00,940.00,7254.00,4.00,7250.00,--,7250.00,1522.00,5728.00,--,--,5728.00,197.04,--,--,,29.07,29.07,,29.07,29.07,,--,--,,,--,--,--,,--,--,--
Jun '16,--,23087.00,,--,--,--,--,11891.00,386.00,--,--,--,--,--,4389.00,6421.00,979.00,7400.00,6.00,7394.00,--,7394.00,1616.00,5778.00,--,--,5778.00,197.04,--,--,,29.32,29.32,,29.32,29.32,,--,--,,,--,--,--,,--,--,--
Sep '16,--,23016.00,,--,--,--,--,11937.00,396.00,--,--,--,--,--,4260.00,6423.00,1175.00,7598.00,3.00,7595.00,--,7595.00,1637.00,5958.00,--,--,5958.00,197.04,--,--,,30.24,30.24,,30.24,30.24,,--,--,,,--,--,--,,--,--,--
Dec '16,--,23184.00,,--,--,--,--,11941.00,394.00,--,--,--,--,--,4495.00,6354.00,1360.00,7714.00,3.00,7711.00,--,7711.00,1627.00,6084.00,--,--,6084.00,197.04,--,--,,30.88,30.88,,30.88,30.88,,--,--,,,--,--,--,,--,--,--
Mar '17,--,23406.00,,--,--,--,--,12347.00,399.00,--,--,--,--,--,4344.00,6316.00,1054.00,7370.00,4.00,7366.00,--,7366.00,1533.00,5833.00,--,--,5833.00,197.04,--,--,,29.61,29.61,,29.61,29.61,,--,--,,,--,--,--,,--,--,--
Jun '17,--,23476.00,,--,--,--,--,12740.00,396.00,--,--,--,--,--,4450.00,5890.00,2414.00,8304.00,21.00,8283.00,--,8283.00,1613.00,6670.00,--,--,6670.00,191.00,--,--,,34.11,34.11,,34.11,34.11,,--,--,,,--,--,--,,--,--,--
Sep '17,--,24032.00,,--,--,--,--,12896.00,412.00,--,--,--,--,--,4223.00,6501.00,807.00,7308.00,4.00,7304.00,--,7304.00,1558.00,5746.00,--,--,5746.00,191.00,--,--,,30.02,30.02,,30.02,30.02,,--,--,,,--,--,--,,--,--,--
Dec '17,--,24278.00,,--,--,--,--,12669.00,419.00,--,--,--,--,--,4492.00,6698.00,1043.00,7741.00,2.00,7739.00,--,7739.00,1670.00,6069.00,--,--,6069.00,191.00,--,--,,31.70,31.70,,31.70,31.70,,--,--,,,--,--,--,,--,--,--
Mar '18,--,25570.00,,--,--,--,--,13194.00,420.00,--,--,--,--,--,4887.00,7069.00,1539.00,8608.00,3.00,8605.00,--,8605.00,1849.00,6756.00,--,--,6756.00,191.00,--,--,,35.29,35.29,,35.29,35.29,,--,--,,,--,--,--,,--,--,--
Jun '18,--,29368.00,,--,--,--,--,14126.00,415.00,--,--,--,--,--,6854.00,7973.00,2381.00,10354.00,12.00,10342.00,--,10342.00,3206.00,7136.00,--,--,7136.00,383.00,--,--,,18.64,18.64,,18.64,18.64,,--,--,,,--,--,--,,--,--,--
Sep '18,--,30792.00,,--,--,--,--,14812.00,424.00,--,--,--,--,--,6998.00,8558.00,1725.00,10283.00,130.00,10153.00,--,10153.00,2533.00,7620.00,--,--,7620.00,375.00,--,--,,19.92,19.92,,19.92,19.92,,--,--,,,--,--,--,,--,--,--
Dec '18,--,30964.00,,--,--,--,--,15175.00,430.00,--,--,--,--,--,7237.00,8122.00,1873.00,9995.00,8.00,9987.00,--,9987.00,2501.00,7486.00,--,--,7486.00,375.00,--,--,,19.95,19.95,,19.95,19.95,,--,--,,,--,--,--,,--,--,--
Mar '19,--,32046.00,,--,--,--,--,15264.00,447.00,--,--,--,--,--,7740.00,8595.00,1648.00,10243.00,20.00,10223.00,--,10223.00,2400.00,7823.00,--,--,7823.00,375.00,--,--,,20.85,20.85,,20.85,20.85,,--,--,,,--,--,--,,--,--,--
