0,Other Operating Income,Total Income From Operations,EXPENDITURE,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,depreciat,Excise Duty,Admin. And Selling Expenses,R & D Expenses,Provisions And Contingencies,Exp. Capitalised,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Equity Dividend Rate (%),EPS Before Extra Ordinary,Basic EPS,Diluted EPS,EPS After Extra Ordinary,Basic EPS.,Diluted EPS.,Public Share Holding,No Of Shares (Crores),Share Holding (%),Promoters and Promoter Group Shareholding,a) Pledged/Encumbered,- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company),b) Non-encumbered,- Number of shares (Crores).,- Per. of shares (as a % of the total sh. of prom. and promoter group).,- Per. of shares (as a % of the total Share Cap. of the company).
Jun '21,104.22,5915.90,,--,--,--,--,548.69,82.43,--,--,--,1724.40,--,648.07,2912.31,1.06,2913.37,1763.90,1149.47,--,1149.47,306.55,842.92,--,--,842.92,120.46,--,--,,14.00,13.91,,14.00,13.91,,--,--,,,--,--,--,,--,--,--
Sep '21,213.10,6808.23,,--,--,--,--,848.06,87.58,--,--,--,1239.29,--,976.90,3656.40,0.55,3656.95,1889.33,1767.62,--,1767.62,461.85,1305.77,--,--,1305.77,120.51,--,--,,21.87,21.53,,21.87,21.53,,--,--,,,--,--,--,,--,--,--
Dec '21,294.48,7523.07,,--,--,--,--,920.13,88.80,--,--,--,994.64,--,940.04,4579.46,2.48,4581.94,1972.10,2609.84,--,2609.84,675.99,1933.85,--,--,1933.85,120.60,--,--,,32.08,31.86,,32.08,31.86,,--,--,,,--,--,--,,--,--,--
Mar '22,280.03,7617.08,,--,--,--,--,905.00,96.10,--,--,--,663.73,--,948.10,5004.15,3.11,5007.26,1947.80,3059.46,--,3059.46,791.51,2267.95,--,--,2267.95,120.66,--,--,,37.60,37.36,,37.60,37.36,,--,--,,,--,--,--,,--,--,--
Jun '22,301.45,8144.68,,--,--,--,--,1058.62,102.11,--,--,--,748.04,--,1055.30,5180.61,1.67,5182.28,2005.99,3176.29,--,3176.29,820.37,2355.92,--,--,2355.92,120.73,--,--,,39.04,38.82,,39.04,38.82,,--,--,,,--,--,--,,--,--,--
Sep '22,275.35,8602.63,,--,--,--,--,1124.74,110.82,--,--,--,704.86,--,1121.72,5540.49,3.63,5544.12,2208.93,3335.19,--,3335.19,862.95,2472.24,--,--,2472.24,120.82,--,--,,40.94,40.73,,40.94,40.73,,--,--,,,--,--,--,,--,--,--
Dec '22,259.67,9213.53,,--,--,--,--,1163.87,108.31,--,--,--,810.97,--,1135.29,5995.09,1.08,5996.17,2455.89,3540.28,--,3540.28,916.06,2624.22,--,--,2624.22,120.86,--,--,,43.43,43.22,,43.43,43.22,,--,--,,,--,--,--,,--,--,--
Mar '23,260.97,9716.19,,--,--,--,--,1216.83,122.53,--,--,--,802.59,--,1132.18,6442.06,1.90,6443.96,2614.21,3829.75,--,3829.75,992.39,2837.36,--,--,2837.36,120.89,--,--,,46.95,46.74,,46.95,46.74,,--,--,,,--,--,--,,--,--,--
Jun '23,222.17,10664.10,,--,--,--,--,1366.31,143.32,--,--,--,988.61,--,1149.88,7015.98,1.59,7017.57,3013.06,4004.51,--,4004.51,1045.45,2959.06,--,--,2959.06,121.03,--,--,,48.93,48.73,,48.93,48.73,,--,--,,,--,--,--,,--,--,--
Sep '23,232.83,11407.86,,--,--,--,--,1452.45,145.21,--,--,--,1058.55,--,1211.70,7539.95,2.12,7542.07,3351.26,4190.81,--,4190.81,1085.06,3105.75,--,--,3105.75,121.06,--,--,,51.32,51.13,,51.32,51.13,,--,--,,,--,--,--,,--,--,--
Dec '23,247.23,12100.23,,--,--,--,--,1527.22,161.91,--,--,--,1247.52,--,1257.35,7906.23,3.39,7909.62,3618.32,4291.30,--,4291.30,1113.91,3177.39,--,--,3177.39,123.54,--,--,,51.89,51.69,,51.89,51.69,,--,--,,,--,--,--,,--,--,--
Mar '24,273.90,12760.49,,--,--,--,--,1503.49,178.69,--,--,--,1277.51,--,1377.48,8423.32,3.94,8427.26,3860.80,4566.46,--,4566.46,1164.55,3401.91,--,--,3401.91,123.60,--,--,,55.07,54.88,,55.07,54.88,,--,--,,,--,--,--,,--,--,--
Jun '24,336.88,13723.11,,--,--,--,--,1631.59,185.77,--,--,--,1671.36,--,1432.99,8801.40,2.63,8804.03,4201.59,4602.44,--,4602.44,1200.90,3401.54,--,--,3401.54,123.70,--,--,,55.03,54.87,,55.03,54.87,,--,--,,,--,--,--,,--,--,--
