0,Other Operating Income,Total Income From Operations,EXPENDITURE,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,depreciat,Excise Duty,Admin. And Selling Expenses,R & D Expenses,Provisions And Contingencies,Exp. Capitalised,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Equity Dividend Rate (%),EPS Before Extra Ordinary,Basic EPS,Diluted EPS,EPS After Extra Ordinary,Basic EPS.,Diluted EPS.,Public Share Holding,No Of Shares (Crores),Share Holding (%),Promoters and Promoter Group Shareholding,a) Pledged/Encumbered,- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company),b) Non-encumbered,- Number of shares (Crores).,- Per. of shares (as a % of the total sh. of prom. and promoter group).,- Per. of shares (as a % of the total Share Cap. of the company).
Jun '17,--,3202.88,,1773.00,176.65,-148.33,--,206.01,75.75,--,--,--,--,--,598.47,521.33,86.14,607.47,4.29,603.18,--,603.18,202.23,400.95,--,--,400.95,95.92,--,--,,4.18,4.18,,4.18,4.18,,--,--,,,--,--,--,,--,--,--
Sep '17,--,3602.20,,1637.61,173.35,269.95,--,202.03,77.15,--,--,--,--,--,599.17,642.94,63.84,706.78,4.97,701.81,--,701.81,228.36,473.45,--,--,473.45,95.92,--,--,,4.94,4.94,,4.94,4.94,,--,--,,,--,--,--,,--,--,--
Dec '17,--,3587.43,,1736.58,176.76,112.83,--,189.74,78.14,--,--,--,--,--,553.42,739.96,68.36,808.32,5.20,803.12,--,803.12,274.15,528.97,--,--,528.97,95.92,--,--,,5.51,5.51,,5.51,5.51,,--,--,,,--,--,--,,--,--,--
Mar '18,--,3775.35,,1952.97,215.81,-80.33,--,193.30,80.07,--,--,--,--,--,708.24,705.29,59.16,764.45,6.60,757.85,--,757.85,266.28,491.57,--,--,491.57,95.92,--,--,,5.12,5.12,,5.12,5.12,,--,--,,,--,--,--,,--,--,--
Jun '18,--,3706.24,,2016.37,211.50,-175.36,--,215.73,78.96,--,--,--,--,--,613.17,745.87,68.86,814.73,4.76,809.97,--,809.97,267.34,542.63,--,--,542.63,95.92,--,--,,5.66,5.66,,5.66,5.66,,--,--,,,--,--,--,,--,--,--
Sep '18,--,3914.17,,2182.94,229.50,-95.55,--,215.47,82.76,--,--,--,--,--,654.52,644.53,71.66,716.19,6.63,709.56,--,709.56,228.07,481.49,--,--,481.49,95.92,--,--,,5.02,5.02,,5.02,5.02,,--,--,,,--,--,--,,--,--,--
Dec '18,--,4536.05,,2204.19,297.96,126.28,--,227.97,103.23,--,--,--,--,--,693.85,882.57,66.32,948.89,8.70,940.19,--,940.19,309.23,630.96,--,--,630.96,95.92,--,--,,6.58,6.58,,6.58,6.58,,--,--,,,--,--,--,,--,--,--
Mar '19,--,4235.32,,2244.32,271.70,-103.23,--,243.62,117.23,--,--,--,--,--,808.88,652.80,71.97,724.77,9.92,714.85,--,714.85,235.17,479.68,--,--,479.68,95.92,--,--,,5.00,5.00,,5.00,5.00,,--,--,,,--,--,--,,--,--,--
Jun '19,--,4380.16,,2194.45,277.30,-53.75,--,247.53,169.79,--,--,--,--,--,624.78,920.06,85.50,1005.56,19.25,986.31,--,986.31,333.86,652.45,--,--,652.45,95.92,--,--,,6.80,6.80,,6.80,6.80,,--,--,,,--,--,--,,--,--,--
Sep '19,--,4278.04,,2350.46,322.89,-251.03,--,253.23,174.31,--,--,--,--,--,729.04,699.14,114.14,813.28,20.24,793.04,--,793.04,2.52,790.52,--,--,790.52,95.92,--,--,,8.24,8.24,,8.24,8.24,,--,--,,,--,--,--,,--,--,--
